,Waterfront,Burrard,Granville,Stadium - Chinatown,Main St. - Science World,Commercial - Broadway,Nanaimo,29th Avenue,Joyce,Patterson,Metrotown,Royal Oak,Edmonds,22nd Street,New Westminster,Columbia,Scott Road,Gateway,Surrey Central,King George
Waterfront,0,1535,1539,1015,947,3414,476,494,1048,399,1738,365,800,580,611,891,611,413,875,904
Burrard,1859,0,1877,1238,1155,4164,580,602,1278,486,2120,445,975,707,746,1087,745,503,1067,1102
Granville,2013,2026,0,1340,1250,4507,628,652,1383,526,2295,482,1056,766,807,1176,806,545,1155,1193
Stadium - Chinatown,1135,1142,1146,0,705,2542,354,368,780,297,1294,272,595,432,455,663,455,307,651,673
Main St. - Science World,977,983,986,650,0,2187,305,316,671,255,1114,234,512,372,392,571,391,264,560,579
Commercial - Broadway,3974,4000,4011,2646,2468,0,1240,1287,2731,1039,4531,951,2084,1512,1593,2322,1592,1076,2280,2356
Nanaimo,500,503,505,333,310,1119,0,162,344,131,570,120,262,190,200,292,200,135,287,296
29th Avenue,540,543,545,359,335,1208,168,0,371,141,615,129,283,205,216,315,216,146,310,320
Joyce,1140,1148,1151,759,708,2553,356,369,0,298,1300,273,598,434,457,666,457,309,654,676
Patterson,385,388,389,257,239,863,120,125,265,0,439,92,202,147,154,225,154,104,221,228
Metrotown,2242,2256,2263,1493,1392,5020,700,726,1541,586,0,537,1176,853,899,1310,898,607,1286,1329
Royal Oak,365,368,369,243,227,818,114,118,251,95,416,0,192,139,146,213,146,99,210,217
Edmonds,841,847,849,560,523,1884,263,273,578,220,959,201,0,320,337,492,337,228,483,499
22nd Street,713,718,720,475,443,1597,223,231,490,187,813,171,374,0,286,417,286,193,409,423
New Westminster,681,686,687,454,423,1525,213,221,468,178,777,163,357,259,0,398,273,184,391,404
Columbia,985,991,994,656,612,2205,307,319,677,258,1123,236,517,375,395,0,395,267,565,584
Scott Road,650,654,656,433,403,1455,203,210,447,170,741,156,341,247,260,380,0,176,373,385
Gateway,392,395,396,261,244,878,122,127,270,103,447,94,206,149,157,229,157,0,225,233
Surrey Central,1552,1562,1567,1034,964,3475,484,503,1067,406,1770,372,814,590,622,907,622,420,0,920
King George,568,572,573,378,353,1271,177,184,390,148,647,136,298,216,228,332,227,154,326,0
